"model","min_count","negative","ns_exponent","sample","window"
"1","10","2","-0.3","0.00014","2"
"2","10","5","-0.3","0.00014","2"
"3","100","2","-0.3","0.00014","2"
"4","100","5","-0.3","0.00014","2"
"5","10","2","-0.3","0.00003","2"
"6","10","5","-0.3","0.00003","2"
"7","100","2","-0.3","0.00003","2"
"8","100","5","-0.3","0.00003","2"
"9","10","2","-0.3","0.00014","5"
"10","10","5","-0.3","0.00014","5"
"11","100","2","-0.3","0.00014","5"
"12","100","5","-0.3","0.00014","5"
"13","10","2","-0.3","0.00003","5"
"14","10","5","-0.3","0.00003","5"
"15","100","2","-0.3","0.00003","5"
"16","100","5","-0.3","0.00003","5"
"17","10","2","-0.3","0.00014","10"
"18","10","5","-0.3","0.00014","10"
"19","100","2","-0.3","0.00014","10"
"20","100","5","-0.3","0.00014","10"
"21","10","2","-0.3","0.00003","10"
"22","10","5","-0.3","0.00003","10"
"23","100","2","-0.3","0.00003","10"
"24","100","5","-0.3","0.00003","10"
"25","10","2","0","0.00014","2"
"26","10","5","0","0.00014","2"
"27","100","2","0","0.00014","2"
"28","100","5","0","0.00014","2"
"29","10","2","0","0.00003","2"
"30","10","5","0","0.00003","2"
"31","100","2","0","0.00003","2"
"32","100","5","0","0.00003","2"
"33","10","2","0","0.00014","5"
"34","10","5","0","0.00014","5"
"35","100","2","0","0.00014","5"
"36","100","5","0","0.00014","5"
"37","10","2","0","0.00003","5"
"38","10","5","0","0.00003","5"
"39","100","2","0","0.00003","5"
"40","100","5","0","0.00003","5"
"41","10","2","0","0.00014","10"
"42","10","5","0","0.00014","10"
"43","100","2","0","0.00014","10"
"44","100","5","0","0.00014","10"
"45","10","2","0","0.00003","10"
"46","10","5","0","0.00003","10"
"47","100","2","0","0.00003","10"
"48","100","5","0","0.00003","10"
"49","10","2","0.3","0.00014","2"
"50","10","5","0.3","0.00014","2"
"51","100","2","0.3","0.00014","2"
"52","100","5","0.3","0.00014","2"
"53","10","2","0.3","0.00003","2"
"54","10","5","0.3","0.00003","2"
"55","100","2","0.3","0.00003","2"
"56","100","5","0.3","0.00003","2"
"57","10","2","0.3","0.00014","5"
"58","10","5","0.3","0.00014","5"
"59","100","2","0.3","0.00014","5"
"60","100","5","0.3","0.00014","5"
"61","10","2","0.3","0.00003","5"
"62","10","5","0.3","0.00003","5"
"63","100","2","0.3","0.00003","5"
"64","100","5","0.3","0.00003","5"
"65","10","2","0.3","0.00014","10"
"66","10","5","0.3","0.00014","10"
"67","100","2","0.3","0.00014","10"
"68","100","5","0.3","0.00014","10"
"69","10","2","0.3","0.00003","10"
"70","10","5","0.3","0.00003","10"
"71","100","2","0.3","0.00003","10"
"72","100","5","0.3","0.00003","10"
"73","10","2","0.75","0.00014","2"
"74","10","5","0.75","0.00014","2"
"75","100","2","0.75","0.00014","2"
"76","100","5","0.75","0.00014","2"
"77","10","2","0.75","0.00003","2"
"78","10","5","0.75","0.00003","2"
"79","100","2","0.75","0.00003","2"
"80","100","5","0.75","0.00003","2"
"81","10","2","0.75","0.00014","5"
"82","10","5","0.75","0.00014","5"
"83","100","2","0.75","0.00014","5"
"84","100","5","0.75","0.00014","5"
"85","10","2","0.75","0.00003","5"
"86","10","5","0.75","0.00003","5"
"87","100","2","0.75","0.00003","5"
"88","100","5","0.75","0.00003","5"
"89","10","2","0.75","0.00014","10"
"90","10","5","0.75","0.00014","10"
"91","100","2","0.75","0.00014","10"
"92","100","5","0.75","0.00014","10"
"93","10","2","0.75","0.00003","10"
"94","10","5","0.75","0.00003","10"
"95","100","2","0.75","0.00003","10"
"96","100","5","0.75","0.00003","10"